"move_id","move_name","type","category","source_animation_reference","ds_animation_class","ds_animation_path","ds_move_id","port_action","notes"
"MOVE_BIG_BLAST","Big Bang","Normal","Special","MOVE_HYPER_BEAM","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SPECTRAL_FLAME","Spectral Flame","Ghost","Status","MOVE_WILL_O_WISP","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TREPIDATION","Trepidation","Poison","Special","MOVE_MEAN_LOOK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ASTRAL_HAND","Astral Hand","Psychic","Physical","MOVE_MEGA_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FETCH","Fetch","Normal","Physical","MOVE_BATON_PASS","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TRANSMUTE","Transmute","Psychic","Special","MOVE_PSYCHIC","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CLEAR_SKIES","Clear Skies","Normal","Status","MOVE_DEFOG","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_READY_OR_NOT","Ready or Not","Normal","Physical","MOVE_ASTONISH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_GIANT_GALE","Giant Gale","Flying","Special","MOVE_HURRICANE","direct hg-engine DS reuse","animations/hg-engine/gen5/545.s","545","reuse referenced DS animation","Elite Redux reuses MOVE_HURRICANE; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_VEXING_VOID","Vexing Void","Dark","Special","MOVE_DARK_VOID","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ECLIPSE","Eclipse","Dark","Special","MOVE_DARK_VOID","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TAKE_FLIGHT","Take Flight","Flying","Special","MOVE_U_TURN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CALTROPS","Caltrops","Steel","Status","MOVE_SPIKES","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SAFE_PASSAGE","Safe Passage","Normal","Status","MOVE_BATON_PASS","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ESPER_WALTZ","Esper Waltz","Psychic","Special","MOVE_REVELATION_DANCE","direct hg-engine DS reuse","animations/hg-engine/gen7/689.s","689","reuse referenced DS animation","Elite Redux reuses MOVE_REVELATION_DANCE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_ZAP_JIVE","Zap Jive","Electric","Special","MOVE_REVELATION_DANCE","direct hg-engine DS reuse","animations/hg-engine/gen7/689.s","689","reuse referenced DS animation","Elite Redux reuses MOVE_REVELATION_DANCE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_HEX_TROT","Hex Trot","Ghost","Special","MOVE_REVELATION_DANCE","direct hg-engine DS reuse","animations/hg-engine/gen7/689.s","689","reuse referenced DS animation","Elite Redux reuses MOVE_REVELATION_DANCE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_BAD_EGG","Bad Egg","Poison","Special","MOVE_EGG_BOMB","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DRAGON_JAB","Dragon Jab","Dragon","Physical","MOVE_MEGAHORN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ICICLE_IMPALE","Icicle Impale","Ice","Physical","MOVE_MEGAHORN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TOXIC_PLUNGE","Toxic Plunge","Poison","Physical","MOVE_SLUDGE_WAVE","direct hg-engine DS reuse","animations/hg-engine/gen5/485.s","485","reuse referenced DS animation","Elite Redux reuses MOVE_SLUDGE_WAVE; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_SHOWTIME","Showtime","Psychic","Status","MOVE_MAGIC_ROOM","direct hg-engine DS reuse","animations/hg-engine/gen5/481.s","481","reuse referenced DS animation","Elite Redux reuses MOVE_MAGIC_ROOM; matching Gen 5 hg-engine animation is already stored in this repository."
"MOVE_BANISHED_POWER","Banished Power","Dark","Special","MOVE_DARK_PULSE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_TRIPLE_TREMOR","Triple Tremor","Ground","Physical","MOVE_TRIPLE_KICK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_FIRE_GLAIVE","Fire Glaive","Fire","Physical","MOVE_FLARE_BLITZ","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_DEPLETION_BEAM","Depletion Beam","Dragon","Physical","MOVE_STEEL_BEAM","direct hg-engine DS reuse","animations/hg-engine/gen8/799.s","799","reuse referenced DS animation","Elite Redux reuses MOVE_STEEL_BEAM; matching Gen 8 hg-engine animation is already stored in this repository."
"MOVE_ONE_INCH_PUNCH","One-Inch Punch","Fighting","Physical","MOVE_MEGA_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BERSERKER_HORN","Berserker Horn","Fighting","Physical","MOVE_MEGAHORN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ONI_FIST","Oni Fist","Dark","Physical","MOVE_SHADOW_PUNCH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_INSECT_IMPACT","Insect Impact","Bug","Physical","MOVE_DOUBLE_EDGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_LIGHTNING_BULLET","Lightning Bullet","Electric","Physical","MOVE_ZAP_CANNON","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_METALLIC_MELODY","Metallic Melody","Steel","Special","MOVE_BOOMBURST","direct hg-engine DS reuse","animations/hg-engine/gen6/589.s","589","reuse referenced DS animation","Elite Redux reuses MOVE_BOOMBURST; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_BLUE_MOON","Blue Moon","Ice","Special","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_FIVE_STAR_FURY","Five-Star Fury","Bug","Physical","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_TSUNAMI_HAMMER","Tsunami Hammer","Water","Physical","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_SEPTIC_SWITCH","Septic Switch","Poison","Status","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_WATERLOG","Waterlog","Water","Status","MOVE_WATER_GUN","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_INCITE","Incite","Dark","Status","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_TOXIC_TERRAIN","Toxic Terrain","Poison","Status","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_JETSTREAM_BURST","Jetstream Burst","Flying","Special","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_SKY_QUAKE","Sky Quake","Flying","Physical","MOVE_NONE","source explicitly has no reused animation","","","build/adapt a DS animation","Elite Redux explicitly records MOVE_NONE."
"MOVE_SUNSTRIKE","Sunstrike (N)","Fire","Special","MOVE_SUNSTEEL_STRIKE","direct hg-engine DS reuse","animations/hg-engine/gen7/716.s","716","reuse referenced DS animation","Elite Redux reuses MOVE_SUNSTEEL_STRIKE; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_TEMPEST_STORM","Tempest Storm (N)","Electric","Status","MOVE_THUNDER","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_PRISM_BLAST","Prism Blast","Rock","Special","MOVE_PRISMATIC_LASER","direct hg-engine DS reuse","animations/hg-engine/gen7/714.s","714","reuse referenced DS animation","Elite Redux reuses MOVE_PRISMATIC_LASER; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_SEISMIC_SLAM","Seismic Slam","Ground","Physical","MOVE_DOUBLE_EDGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CHILLER","Chiller","Ice","Physical","MOVE_ICE_BALL","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SPREAD_BOMB","Spread Bomb","Fire","Physical","MOVE_EXPLOSION","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BALL_TOSS","Ball Toss","Normal","Physical","MOVE_BARRAGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_PARTY_FAVORS","Party Favors","Fairy","Physical","MOVE_CELEBRATE","direct hg-engine DS reuse","animations/hg-engine/gen6/609.s","609","reuse referenced DS animation","Elite Redux reuses MOVE_CELEBRATE; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_SHOT_PUT","Shot Put","Steel","Physical","MOVE_BARRAGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_BLOCK_DROPPER","Block Dropper","Ground","Physical","MOVE_BARRAGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_SABER_SLASHES","Saber Slashes","Fire","Physical","MOVE_FIRE_LASH","direct hg-engine DS reuse","animations/hg-engine/gen7/683.s","683","reuse referenced DS animation","Elite Redux reuses MOVE_FIRE_LASH; matching Gen 7 hg-engine animation is already stored in this repository."
"MOVE_DRAGON_DASH","Dragon Dash","Dragon","Physical","MOVE_DRAGON_RUSH","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_POCKET_SAND","Pocket Sand","Ground","Physical","MOVE_SAND_ATTACK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_CONCOCTION","Concoction","Grass","Physical","MOVE_CELEBRATE","direct hg-engine DS reuse","animations/hg-engine/gen6/609.s","609","reuse referenced DS animation","Elite Redux reuses MOVE_CELEBRATE; matching Gen 6 hg-engine animation is already stored in this repository."
"MOVE_UNSCREW","Hacksaw","Steel","Physical","MOVE_DISCHARGE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_GODSPEED","Godspeed","Flying","Physical","MOVE_BRAVE_BIRD","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_PSYCHO_WAVE","Psycho Wave","Psychic","Special","MOVE_PSYCHO_BOOST","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ATOMIC_FIRE","Atomic Fire","Fire","Special","MOVE_FIRE_BLAST","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_RAIN_FLUSH","Rain Flush","Water","Special","MOVE_RAIN_DANCE","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_ICE_WALL","Ice Wall","Ice","Physical","MOVE_BARRIER","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
"MOVE_OBSCURED_SHOT","Obscured Shot","Dark","Special","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_BLITZ_ARROW","Blitz Arrow","Fighting","Physical","","pending/no source animation linkage","","","select or build a DS animation","No source-certified animation reference in the community manifest."
"MOVE_RUMBLE_KICK","Rumble Kick","Rock","Physical","MOVE_MEGA_KICK","direct Platinum/base-era DS reuse","","","reuse the vanilla Platinum animation","Elite Redux references an official Gen 1–4 move animation already present in the Platinum base game."
